epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4011,1.86609,3.4097,2.85983,0.06,0.83077,0.06222,0.02201,1.30477,3.14329,2.35323,0.0001,0.0001,0.0001
2,26.1405,1.25498,3.0949,2.2702,0.07222,1,0.34785,0.11226,1.04598,2.458,2.00813,0.000215644,0.000215644,0.000215644
3,34.4377,1.10639,2.42529,1.97899,0.41582,0.61538,0.48936,0.21294,1.05694,1.62103,1.86838,0.000326536,0.000326536,0.000326536
4,40.0481,1.08348,1.38548,1.89689,0.60578,0.88462,0.70005,0.48851,1.02425,1.34015,1.91694,0.000432676,0.000432676,0.000432676
5,46.0561,1.16314,1.15022,1.95055,0.68498,0.93665,0.75859,0.5099,1.10786,1.46222,1.97518,0.000534064,0.000534064,0.000534064
6,51.3453,1.04692,1.07738,1.90159,0.59287,0.86254,0.6795,0.5026,0.97136,1.33042,2.10932,0.0006307,0.0006307,0.0006307
7,56.6995,0.98755,1.01765,1.92379,0.7065,0.93077,0.73976,0.52479,0.96689,1.1324,2.08911,0.000722584,0.000722584,0.000722584
8,62.2586,1.04536,0.99224,2.05961,0.73192,0.93077,0.75041,0.52243,1.03611,1.16908,2.16603,0.000809716,0.000809716,0.000809716
9,67.2891,1.01909,0.849,1.86498,0.72808,0.93077,0.75423,0.54828,0.94914,1.08267,2.0137,0.000892096,0.000892096,0.000892096
10,73.1204,0.95567,0.84965,1.83705,0.74106,0.96865,0.77509,0.58122,0.9342,0.95558,1.96852,0.000969724,0.000969724,0.000969724
11,78.249,0.93865,0.8001,1.87785,0.74114,0.99109,0.78522,0.59623,0.89126,0.9082,1.93854,0.0010426,0.0010426,0.0010426
12,84.3258,0.98213,0.80033,1.91897,0.74359,0.99231,0.76795,0.56533,0.97548,0.86386,1.92203,0.00111072,0.00111072,0.00111072
13,89.5519,1.01542,0.81482,1.94192,0.74032,1,0.77418,0.57848,0.93572,0.8261,2.11297,0.0011741,0.0011741,0.0011741
14,94.4621,0.8959,0.74886,1.81186,0.74562,0.99231,0.77484,0.57889,0.92669,0.80331,2.07326,0.00123272,0.00123272,0.00123272
15,99.6989,0.9119,0.71965,1.85156,0.74562,0.99231,0.77484,0.57889,0.92669,0.80331,2.07326,0.00128658,0.00128658,0.00128658
16,104.713,0.97069,0.77131,1.85503,0.74936,0.98897,0.80463,0.6043,0.90062,0.81261,1.88838,0.0013357,0.0013357,0.0013357
17,110.067,0.90315,0.73614,1.79868,0.74649,0.99231,0.81039,0.60872,0.90026,0.84587,1.95568,0.0013664,0.0013664,0.0013664
18,115.947,0.88015,0.73021,1.84837,0.74634,1,0.79916,0.61902,0.85276,0.78273,1.89735,0.0013268,0.0013268,0.0013268
19,121.001,0.90285,0.711,1.82512,0.74634,1,0.79916,0.61902,0.85276,0.78273,1.89735,0.0012872,0.0012872,0.0012872
20,126.579,0.86246,0.69607,1.79127,0.75088,1,0.82571,0.64398,0.8229,0.74146,1.88097,0.0012476,0.0012476,0.0012476
21,131.922,0.85429,0.68909,1.78786,0.75059,1,0.78693,0.59693,0.86817,0.74484,1.94159,0.001208,0.001208,0.001208
22,136.971,0.85202,0.65929,1.76919,0.75049,1,0.78395,0.60711,0.86897,0.77328,1.99366,0.0011684,0.0011684,0.0011684
23,142.44,0.81586,0.64365,1.77114,0.75049,1,0.78395,0.60711,0.86897,0.77328,1.99366,0.0011288,0.0011288,0.0011288
24,147.834,0.85614,0.69778,1.78363,0.75081,1,0.78499,0.59936,0.86141,0.75537,1.88198,0.0010892,0.0010892,0.0010892
25,153.121,0.82686,0.62828,1.69528,0.74406,0.99231,0.79016,0.60416,0.84938,0.73058,1.88918,0.0010496,0.0010496,0.0010496
26,158.685,0.82441,0.63244,1.74619,0.74911,0.99231,0.79785,0.62591,0.79052,0.70346,1.82247,0.00101,0.00101,0.00101
27,163.797,0.77002,0.60096,1.64285,0.74911,0.99231,0.79785,0.62591,0.79052,0.70346,1.82247,0.0009704,0.0009704,0.0009704
28,169.276,0.82444,0.61919,1.65986,0.7494,0.99231,0.80501,0.6229,0.82121,0.68966,1.86012,0.0009308,0.0009308,0.0009308
29,174.352,0.79665,0.62687,1.69474,0.74933,0.99231,0.80582,0.62863,0.79549,0.68108,1.909,0.0008912,0.0008912,0.0008912
30,179.63,0.80314,0.63056,1.72633,0.74472,0.99231,0.80087,0.61676,0.83579,0.68911,1.94458,0.0008516,0.0008516,0.0008516
31,185.129,0.75524,0.58908,1.64018,0.74472,0.99231,0.80087,0.61676,0.83579,0.68911,1.94458,0.000812,0.000812,0.000812
32,190.133,0.76932,0.59044,1.6591,0.74964,0.99042,0.81286,0.62921,0.83048,0.68464,1.887,0.0007724,0.0007724,0.0007724
33,195.573,0.73823,0.60865,1.65386,0.74194,1,0.83492,0.65474,0.78598,0.68442,1.79315,0.0007328,0.0007328,0.0007328
34,201.067,0.74405,0.58814,1.59456,0.7512,0.9987,0.8473,0.66774,0.7736,0.66835,1.78035,0.0006932,0.0006932,0.0006932
35,206.448,0.74178,0.58805,1.61716,0.7512,0.9987,0.8473,0.66774,0.7736,0.66835,1.78035,0.0006536,0.0006536,0.0006536
36,212.488,0.71873,0.56528,1.54648,0.74706,0.99965,0.84317,0.66405,0.77444,0.66121,1.80646,0.000614,0.000614,0.000614
37,217.904,0.72878,0.56766,1.60955,0.73703,0.99231,0.83879,0.66478,0.77627,0.66154,1.83765,0.0005744,0.0005744,0.0005744
38,223.411,0.73975,0.57312,1.59837,0.74623,0.98462,0.84502,0.67029,0.80265,0.65804,1.87106,0.0005348,0.0005348,0.0005348
39,229.13,0.71731,0.54563,1.53262,0.74623,0.98462,0.84502,0.67029,0.80265,0.65804,1.87106,0.0004952,0.0004952,0.0004952
40,234.909,0.71558,0.5643,1.53601,0.74549,1,0.84771,0.6708,0.80773,0.65134,1.86559,0.0004556,0.0004556,0.0004556
41,244.343,0.64731,0.55408,1.56375,0.74601,1,0.82268,0.64408,0.8287,0.66074,1.85121,0.000416,0.000416,0.000416
42,252.876,0.64065,0.57819,1.52666,0.75105,1,0.82245,0.64011,0.85152,0.66529,1.89237,0.0003764,0.0003764,0.0003764
43,258.099,0.6749,0.56466,1.57915,0.75105,1,0.82245,0.64011,0.85152,0.66529,1.89237,0.0003368,0.0003368,0.0003368
44,263.295,0.67013,0.56715,1.53803,0.75111,1,0.81706,0.64335,0.81108,0.66062,1.85857,0.0002972,0.0002972,0.0002972
45,268.81,0.63246,0.55453,1.49333,0.74693,1,0.81351,0.64938,0.76129,0.65036,1.80855,0.0002576,0.0002576,0.0002576
46,273.76,0.63944,0.54867,1.50142,0.75134,0.99942,0.81946,0.65285,0.74631,0.64068,1.81316,0.000218,0.000218,0.000218
47,278.984,0.62807,0.52913,1.47005,0.75134,0.99942,0.81946,0.65285,0.74631,0.64068,1.81316,0.0001784,0.0001784,0.0001784
48,284.356,0.62811,0.54143,1.49844,0.75122,0.99882,0.82708,0.66537,0.74717,0.64163,1.81753,0.0001388,0.0001388,0.0001388
49,289.317,0.63215,0.53349,1.4946,0.74683,0.99847,0.82466,0.66199,0.75409,0.6522,1.82012,9.92e-05,9.92e-05,9.92e-05
50,295.282,0.62414,0.53632,1.50361,0.75117,0.99854,0.82178,0.65376,0.76389,0.66025,1.82881,5.96e-05,5.96e-05,5.96e-05
