epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6815,1.86609,3.4097,2.85983,0.06,0.83077,0.06222,0.02201,1.30477,3.14329,2.35323,0.0001,0.0001,0.0001
2,23.261,1.25475,3.09343,2.26944,0.07222,1,0.37187,0.12367,1.05117,2.44751,1.98383,0.000217822,0.000217822,0.000217822
3,31.4527,1.10569,2.41981,1.97827,0.43017,0.63077,0.49488,0.2111,1.06414,1.6199,1.89196,0.000333268,0.000333268,0.000333268
4,37.6445,1.08728,1.37373,1.90315,0.62082,0.9,0.72026,0.49868,1.02343,1.388,1.90262,0.000446338,0.000446338,0.000446338
5,43.355,1.16908,1.14965,1.94755,0.66081,0.93846,0.7369,0.49987,1.10671,1.43776,1.97204,0.000557032,0.000557032,0.000557032
6,49.0163,1.04534,1.06347,1.90396,0.58604,0.83853,0.69024,0.51163,0.9724,1.31567,2.12624,0.00066535,0.00066535,0.00066535
7,54.8224,0.994,0.98793,1.88554,0.70376,0.95385,0.74927,0.52187,1.01475,1.1051,2.18136,0.000771292,0.000771292,0.000771292
8,60.2044,1.03524,0.96418,2.05725,0.73032,0.95385,0.75645,0.53497,1.02385,1.05636,2.07377,0.000874858,0.000874858,0.000874858
9,69.3447,1.00024,0.83111,1.86223,0.71511,0.95385,0.76845,0.58153,0.90898,0.98037,1.88073,0.000976048,0.000976048,0.000976048
10,75.0643,0.96352,0.7878,1.87382,0.74565,0.99231,0.77368,0.58097,0.91456,0.96674,1.96903,0.00107486,0.00107486,0.00107486
11,80.7295,0.95718,0.78722,1.87312,0.72721,0.99231,0.77337,0.58485,0.89074,0.93541,1.8695,0.0011713,0.0011713,0.0011713
12,92.1651,0.95894,0.79109,1.88,0.7251,0.96923,0.76214,0.53112,1.08201,0.89576,2.13418,0.00126536,0.00126536,0.00126536
13,97.159,1.03545,0.86541,1.90456,0.74322,0.97965,0.8022,0.58727,0.99744,0.84265,2.19724,0.00135705,0.00135705,0.00135705
14,102.855,0.95289,0.76997,1.85608,0.72771,0.98681,0.79359,0.57955,0.91427,0.8474,1.99782,0.00144636,0.00144636,0.00144636
15,108.872,0.9148,0.7167,1.88118,0.72771,0.98681,0.79359,0.57955,0.91427,0.8474,1.99782,0.00153329,0.00153329,0.00153329
16,113.893,0.98837,0.79385,1.89207,0.73788,0.99231,0.80793,0.60748,0.89011,0.86168,1.98816,0.00161785,0.00161785,0.00161785
17,119.702,0.93019,0.75019,1.80911,0.73786,1,0.80941,0.62073,0.85961,0.79006,1.97299,0.0016832,0.0016832,0.0016832
18,125.241,0.88456,0.73148,1.8163,0.74062,0.99231,0.79923,0.58711,0.92547,0.7766,2.12094,0.0016634,0.0016634,0.0016634
