epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7831,1.93007,2.87894,2.54605,0.05833,0.26923,0.05787,0.02196,1.47138,2.54667,2.27217,0.0001,0.0001,0.0001
2,47.951,1.44158,2.44609,2.24937,0.50982,0.20769,0.20279,0.11235,1.25698,1.92041,2.42843,0.000217822,0.000217822,0.000217822
3,66.9566,1.21264,1.99027,2.06475,0.40834,0.11538,0.07949,0.04738,1.24497,1.76972,2.56284,0.000333268,0.000333268,0.000333268
4,97.6099,1.18993,1.56574,2.09759,0.51097,0.35385,0.2549,0.14024,1.0667,2.22199,2.12202,0.000446338,0.000446338,0.000446338
5,125.154,1.13963,1.30764,1.90798,0.49988,0.31538,0.2695,0.1486,0.98366,2.37003,1.92048,0.000557032,0.000557032,0.000557032
6,148.147,1.16091,1.28022,2.03798,0.46164,0.33846,0.23219,0.12722,1.10074,2.41998,1.95317,0.00066535,0.00066535,0.00066535
7,170.836,1.09375,1.1265,1.95086,0.58882,0.33846,0.25621,0.15858,1.04933,1.73673,1.86736,0.000771292,0.000771292,0.000771292
8,193.865,1.14963,1.08311,1.9083,0.61536,0.34615,0.27617,0.17028,1.03374,1.42769,1.83922,0.000874858,0.000874858,0.000874858
9,210.855,1.08484,1.02421,1.85252,0.7467,0.54425,0.48214,0.3241,1.02042,1.28748,1.79671,0.000976048,0.000976048,0.000976048
10,225.553,1.07553,1.03665,1.8567,0.70958,0.93846,0.79206,0.56757,1.03559,1.11549,1.77799,0.00107486,0.00107486,0.00107486
11,241.367,1.04453,0.95812,1.83409,0.72387,0.94779,0.78386,0.55755,1.01475,1.01921,1.76784,0.0011713,0.0011713,0.0011713
12,256.999,1.13239,0.99938,1.77532,0.72889,0.95133,0.78265,0.56396,0.98592,1.06116,1.74148,0.00126536,0.00126536,0.00126536
13,272.847,1.07927,0.94478,1.80967,0.70016,0.96997,0.77922,0.55818,1.02278,1.17307,1.78107,0.00135705,0.00135705,0.00135705
14,288.597,1.03302,0.90096,1.83671,0.71386,0.97872,0.80084,0.57717,0.97417,1.09722,1.78303,0.00144636,0.00144636,0.00144636
15,304.32,1.03218,0.91104,1.8173,0.71386,0.97872,0.80084,0.57717,0.97417,1.09722,1.78303,0.00153329,0.00153329,0.00153329
16,312.526,1.05953,0.93912,1.82835,0.74327,0.98462,0.79733,0.5828,0.94311,0.9401,1.63554,0.00161785,0.00161785,0.00161785
17,327.946,1.06006,0.94592,1.83935,0.73212,0.99231,0.79601,0.58252,0.94493,0.94294,1.65407,0.0016832,0.0016832,0.0016832
18,343.579,1.00469,0.85188,1.68448,0.724,0.98462,0.81181,0.57824,0.95266,1.01629,1.77034,0.0016634,0.0016634,0.0016634
19,358.958,0.99207,0.85764,1.82998,0.724,0.98462,0.81181,0.57824,0.95266,1.01629,1.77034,0.0016436,0.0016436,0.0016436
20,374.466,1.01631,0.85348,1.75488,0.73645,0.99231,0.79634,0.57686,0.96055,0.95822,1.7708,0.0016238,0.0016238,0.0016238
21,389.835,0.96818,0.81617,1.76458,0.73627,0.99231,0.79823,0.59224,0.93637,0.89862,1.68963,0.001604,0.001604,0.001604
22,405.199,0.98394,0.81171,1.72402,0.73844,1,0.81754,0.62047,0.92435,0.82755,1.70898,0.0015842,0.0015842,0.0015842
23,420.669,0.9636,0.7995,1.75466,0.73844,1,0.81754,0.62047,0.92435,0.82755,1.70898,0.0015644,0.0015644,0.0015644
24,436.134,0.96999,0.78484,1.70399,0.74531,0.99231,0.80416,0.60442,0.93913,0.81672,1.64608,0.0015446,0.0015446,0.0015446
25,451.477,0.95165,0.81669,1.68397,0.74395,0.99231,0.79661,0.59244,0.92133,0.82532,1.71862,0.0015248,0.0015248,0.0015248
26,466.767,0.93458,0.77789,1.72274,0.74563,0.99231,0.80905,0.60404,0.89811,0.81164,1.71326,0.001505,0.001505,0.001505
27,482.041,0.94452,0.77101,1.70793,0.74563,0.99231,0.80905,0.60404,0.89811,0.81164,1.71326,0.0014852,0.0014852,0.0014852
28,497.276,0.9266,0.74544,1.63147,0.74808,0.99231,0.8126,0.60841,0.95575,0.79899,1.71201,0.0014654,0.0014654,0.0014654
29,512.592,0.9274,0.75872,1.67668,0.74456,0.99231,0.81397,0.60799,0.95143,0.80632,1.74912,0.0014456,0.0014456,0.0014456
30,527.759,0.90274,0.73444,1.68138,0.74869,0.99231,0.81663,0.62838,0.90239,0.77936,1.70767,0.0014258,0.0014258,0.0014258
