epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5609,1.90388,3.32999,3.08212,0.035,0.48462,0.02876,0.00843,2.20729,3.27122,2.96581,0.0001,0.0001,0.0001
2,17.492,1.3388,3.03728,2.44854,0.06985,0.90769,0.19979,0.06695,1.11265,2.57882,2.08714,0.000215644,0.000215644,0.000215644
3,21.7504,1.07551,2.33214,2.19615,0.35379,0.66923,0.39088,0.15371,1.14053,1.77934,2.0967,0.000326536,0.000326536,0.000326536
4,25.5373,1.03003,1.46634,2.04996,0.6457,0.85516,0.76962,0.51452,1.10767,1.36042,1.95587,0.000432676,0.000432676,0.000432676
5,34.1577,0.9951,1.05559,1.92517,0.66687,0.96154,0.80285,0.57858,0.99109,1.81445,1.81181,0.000534064,0.000534064,0.000534064
6,37.9425,1.01534,1.05121,1.91973,0.55683,0.83846,0.70007,0.51899,0.94043,1.31107,1.81515,0.0006307,0.0006307,0.0006307
7,41.4598,0.97645,0.95455,1.93529,0.62318,0.91538,0.7138,0.54321,0.91752,1.15829,1.87369,0.000722584,0.000722584,0.000722584
8,45.2474,0.96242,0.89728,1.89,0.69544,0.92308,0.76914,0.56586,0.92107,0.98633,1.89428,0.000809716,0.000809716,0.000809716
9,48.5801,0.9185,0.79175,1.90047,0.694,0.90769,0.77474,0.58187,0.94498,1.08214,1.90854,0.000892096,0.000892096,0.000892096
10,52.2706,0.87864,0.78663,1.85026,0.68708,0.93846,0.77116,0.60253,0.89978,0.91794,1.74057,0.000969724,0.000969724,0.000969724
11,55.9562,0.89771,0.74602,1.75885,0.72027,0.99231,0.78245,0.6045,0.9046,0.84563,1.77268,0.0010426,0.0010426,0.0010426
12,60.2012,0.90788,0.76879,1.86734,0.70952,0.99582,0.76784,0.58484,0.92126,0.82739,1.7606,0.00111072,0.00111072,0.00111072
13,63.2503,0.85945,0.71552,1.82128,0.71366,1,0.78623,0.61224,0.83935,0.79327,1.72424,0.0011741,0.0011741,0.0011741
14,66.4625,0.82503,0.68048,1.75013,0.74212,0.97405,0.80734,0.58341,0.99014,0.84972,1.7261,0.00123272,0.00123272,0.00123272
15,69.4241,0.90184,0.67975,1.71255,0.74212,0.97405,0.80734,0.58341,0.99014,0.84972,1.7261,0.00128658,0.00128658,0.00128658
16,73.5737,0.83671,0.6667,1.7502,0.74696,0.97644,0.78711,0.59823,0.8708,0.84682,1.76585,0.0013357,0.0013357,0.0013357
17,76.6627,0.83851,0.67815,1.72113,0.74395,0.98462,0.79227,0.58822,0.902,0.87869,1.84913,0.0013664,0.0013664,0.0013664
18,79.6753,0.8317,0.65218,1.75069,0.74769,0.9802,0.83032,0.62115,0.91384,0.84509,2.01781,0.0013268,0.0013268,0.0013268
19,83.9679,0.83361,0.66266,1.81307,0.74769,0.9802,0.83032,0.62115,0.91384,0.84509,2.01781,0.0012872,0.0012872,0.0012872
20,87.8843,0.79538,0.6413,1.6948,0.7436,0.99231,0.83261,0.65296,0.86293,0.77949,1.84392,0.0012476,0.0012476,0.0012476
21,93.5409,0.78567,0.6505,1.69155,0.74997,0.99217,0.82982,0.6358,0.90261,0.76605,1.76034,0.001208,0.001208,0.001208
22,96.5694,0.78306,0.63592,1.63455,0.7496,0.99022,0.81402,0.6311,0.83911,0.76299,1.74081,0.0011684,0.0011684,0.0011684
23,100.187,0.78342,0.63028,1.69285,0.7496,0.99022,0.81402,0.6311,0.83911,0.76299,1.74081,0.0011288,0.0011288,0.0011288
24,103.917,0.75077,0.60096,1.66723,0.74628,1,0.8173,0.63832,0.80664,0.72728,1.73156,0.0010892,0.0010892,0.0010892
25,106.918,0.75093,0.60133,1.65991,0.74658,1,0.82744,0.65223,0.8063,0.71156,1.7598,0.0010496,0.0010496,0.0010496
26,109.928,0.74067,0.59797,1.60028,0.73971,0.98371,0.80398,0.58073,0.99003,0.77744,1.88523,0.00101,0.00101,0.00101
27,113.228,0.79363,0.60099,1.59766,0.73971,0.98371,0.80398,0.58073,0.99003,0.77744,1.88523,0.0009704,0.0009704,0.0009704
28,116.676,0.74758,0.58718,1.61486,0.74205,1,0.80766,0.62558,0.83956,0.72703,1.78793,0.0009308,0.0009308,0.0009308
29,120.122,0.75959,0.58817,1.68528,0.7419,0.99499,0.79692,0.62961,0.78544,0.70646,1.86194,0.0008912,0.0008912,0.0008912
30,124.824,0.74183,0.58489,1.67382,0.75005,1,0.80202,0.63432,0.78978,0.71387,1.84461,0.0008516,0.0008516,0.0008516
31,128.606,0.72631,0.58184,1.63752,0.75005,1,0.80202,0.63432,0.78978,0.71387,1.84461,0.000812,0.000812,0.000812
32,131.652,0.71546,0.57291,1.56747,0.7513,1,0.78726,0.60926,0.82849,0.72988,1.87224,0.0007724,0.0007724,0.0007724
33,134.627,0.72738,0.57121,1.52062,0.75104,1,0.78829,0.61812,0.83587,0.71983,1.8329,0.0007328,0.0007328,0.0007328
34,137.605,0.73825,0.57795,1.6002,0.75062,1,0.79858,0.62858,0.80408,0.7045,1.80221,0.0006932,0.0006932,0.0006932
35,140.872,0.68805,0.5525,1.53798,0.75062,1,0.79858,0.62858,0.80408,0.7045,1.80221,0.0006536,0.0006536,0.0006536
36,144.314,0.6877,0.57235,1.55503,0.75127,0.99904,0.78971,0.62248,0.78828,0.68887,1.80845,0.000614,0.000614,0.000614
37,147.332,0.67438,0.55664,1.54499,0.75129,0.99916,0.79215,0.62076,0.80372,0.68815,1.83865,0.0005744,0.0005744,0.0005744
38,152.338,0.65957,0.54807,1.51036,0.74458,1,0.78415,0.60353,0.82118,0.70896,1.83788,0.0005348,0.0005348,0.0005348
39,155.943,0.65402,0.54444,1.49613,0.74458,1,0.78415,0.60353,0.82118,0.70896,1.83788,0.0004952,0.0004952,0.0004952
