epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6166,2.71418,2.74309,3.18297,0.06667,0.87591,0.1039,0.03145,2.31116,2.59386,2.91752,4e-05,4e-05,4e-05
2,19.9684,2.60381,2.71012,3.04278,0.05667,0.74453,0.12965,0.03104,2.14985,2.53572,2.76585,9.901e-05,9.901e-05,9.901e-05
3,28.2582,2.1339,2.49369,2.78048,0.05444,0.71533,0.23514,0.0629,1.93691,2.34978,2.61556,0.000156832,0.000156832,0.000156832
4,36.2638,1.77447,2.18617,2.46033,0.57153,0.59854,0.51431,0.22384,1.50958,1.92753,2.20757,0.000213466,0.000213466,0.000213466
5,44.2918,1.54836,1.79191,2.28155,0.52148,0.72387,0.53412,0.27281,1.40207,1.48374,2.07449,0.000268912,0.000268912,0.000268912
6,52.3658,1.41393,1.48927,2.07486,0.54165,0.75912,0.59653,0.30466,1.35441,1.42357,2.07855,0.00032317,0.00032317,0.00032317
7,60.4193,1.37882,1.3056,2.17287,0.59524,0.72263,0.62805,0.33072,1.32706,1.78803,1.98932,0.00037624,0.00037624,0.00037624
8,68.3973,1.26916,1.12835,2.08346,0.63416,0.70803,0.61875,0.33405,1.34902,2.01798,2.01334,0.000428122,0.000428122,0.000428122
9,76.5012,1.24748,1.12706,2.05637,0.648,0.73723,0.65212,0.3636,1.28691,2.2401,2.05865,0.000478816,0.000478816,0.000478816
10,84.5366,1.34692,1.15711,2.07948,0.61743,0.72993,0.65278,0.38407,1.23083,2.40098,2.12912,0.000528322,0.000528322,0.000528322
11,92.5352,1.2359,1.1409,2.07578,0.68186,0.71533,0.66435,0.40368,1.20892,1.93276,2.12996,0.00057664,0.00057664,0.00057664
12,100.665,1.2308,1.0973,2.10309,0.74505,0.69343,0.6502,0.40353,1.18453,1.41706,1.93443,0.00062377,0.00062377,0.00062377
13,108.682,1.31097,1.07113,1.93503,0.74759,0.59124,0.5513,0.34517,1.25607,1.08873,1.89476,0.000669712,0.000669712,0.000669712
14,116.67,1.17913,1.0326,1.9433,0.79228,0.69605,0.64296,0.41013,1.09233,1.09569,1.86908,0.000714466,0.000714466,0.000714466
15,124.643,1.15924,1.05285,2.02969,0.78389,0.71533,0.64594,0.39078,1.27218,1.06643,1.93368,0.000758032,0.000758032,0.000758032
16,132.496,1.15733,0.99309,1.93651,0.79783,0.68613,0.64789,0.36207,1.42817,1.10767,2.1196,0.00080041,0.00080041,0.00080041
17,140.301,1.09756,0.96822,1.95156,0.79054,0.81752,0.74937,0.53089,0.99229,1.12213,1.8756,0.0008416,0.0008416,0.0008416
18,147.891,1.0063,0.89795,1.90443,0.82002,0.81022,0.75949,0.54453,0.9777,1.05734,1.77928,0.000881602,0.000881602,0.000881602
19,155.292,1.01397,0.89697,1.87859,0.80992,0.79562,0.7449,0.52364,0.94534,1.04215,1.76203,0.000920416,0.000920416,0.000920416
20,162.631,1.06247,0.87051,1.86088,0.80616,0.81964,0.77058,0.54615,0.872,1.08685,1.88829,0.000958042,0.000958042,0.000958042
21,169.821,0.98249,0.86125,1.9679,0.80177,0.83212,0.74805,0.5372,0.85329,1.00394,1.82966,0.00099448,0.00099448,0.00099448
22,176.93,0.95017,0.82891,1.94898,0.81041,0.78832,0.71573,0.48076,1.05395,0.9106,1.78709,0.00102973,0.00102973,0.00102973
23,183.832,1.01013,0.87393,1.94236,0.81744,0.75912,0.70003,0.43551,1.22834,0.88358,1.87748,0.00106379,0.00106379,0.00106379
24,190.739,1.04724,0.85606,1.88675,0.83837,0.7951,0.73671,0.53814,0.95781,0.85088,1.77594,0.00109667,0.00109667,0.00109667
25,197.622,1.01063,0.81825,1.86545,0.80335,0.93431,0.8211,0.58222,0.99567,0.95475,2.30747,0.00112835,0.00112835,0.00112835
26,204.431,1.01585,0.85996,2.04395,0.79525,0.9708,0.83917,0.58092,1.11151,1.05023,2.65377,0.00115885,0.00115885,0.00115885
27,211.295,0.96432,0.84196,2.00511,0.79702,0.94891,0.82455,0.63831,0.87538,0.94043,2.23241,0.00118816,0.00118816,0.00118816
28,218.118,0.95416,0.82949,1.99255,0.82716,0.84672,0.76283,0.57149,0.8172,0.807,1.8404,0.00121628,0.00121628,0.00121628
29,224.926,1.05539,0.80859,1.92101,0.82716,0.84672,0.76283,0.57149,0.8172,0.807,1.8404,0.00124322,0.00124322,0.00124322
30,231.687,1.06866,0.78629,1.87807,0.8321,0.80292,0.72243,0.53403,0.91464,0.81523,1.79399,0.00126896,0.00126896,0.00126896
31,238.478,1.06742,0.83274,1.912,0.82292,0.83942,0.743,0.57369,0.8245,0.79143,1.78281,0.00129352,0.00129352,0.00129352
32,245.3,0.96785,0.7708,1.82247,0.81072,0.94161,0.84377,0.67674,0.73225,0.78553,1.90494,0.00131689,0.00131689,0.00131689
33,252.13,0.90655,0.78286,1.99377,0.81072,0.94161,0.84377,0.67674,0.73225,0.78553,1.90494,0.00133907,0.00133907,0.00133907
34,258.911,0.90527,0.79859,1.92516,0.81837,0.93431,0.85581,0.6607,0.78077,0.76803,2.01371,0.0013466,0.0013466,0.0013466
35,265.703,0.90871,0.77211,1.97298,0.82217,0.91241,0.83262,0.66432,0.7535,0.71751,1.94906,0.0013268,0.0013268,0.0013268
36,272.397,0.86231,0.76951,1.90589,0.82708,0.81752,0.75812,0.56878,0.87343,0.74169,1.7572,0.001307,0.001307,0.001307
37,279.083,0.87277,0.72891,1.83657,0.82708,0.81752,0.75812,0.56878,0.87343,0.74169,1.7572,0.0012872,0.0012872,0.0012872
38,285.827,0.96715,0.78087,1.81624,0.83399,0.85401,0.75523,0.57449,0.86314,0.75232,1.65687,0.0012674,0.0012674,0.0012674
39,292.529,0.88284,0.73669,1.76589,0.82919,0.89781,0.79099,0.63611,0.72384,0.73013,1.67716,0.0012476,0.0012476,0.0012476
40,299.197,0.88968,0.74581,1.89535,0.81322,0.92701,0.82327,0.65791,0.70959,0.73842,1.80986,0.0012278,0.0012278,0.0012278
41,305.89,0.85641,0.72865,1.86027,0.81322,0.92701,0.82327,0.65791,0.70959,0.73842,1.80986,0.001208,0.001208,0.001208
42,312.636,0.86623,0.73267,1.77274,0.81432,0.93431,0.85243,0.66366,0.76259,0.73434,2.01489,0.0011882,0.0011882,0.0011882
43,319.343,0.8207,0.73249,1.81335,0.81702,0.91971,0.82302,0.63732,0.77784,0.71885,2.03753,0.0011684,0.0011684,0.0011684
44,326.089,0.80382,0.72932,1.7519,0.81085,0.90511,0.81873,0.63968,0.71294,0.70009,1.80134,0.0011486,0.0011486,0.0011486
45,332.857,0.81357,0.70371,1.71101,0.81085,0.90511,0.81873,0.63968,0.71294,0.70009,1.80134,0.0011288,0.0011288,0.0011288
46,339.644,0.80771,0.72061,1.7398,0.81217,0.91533,0.81755,0.65124,0.6735,0.68761,1.71547,0.001109,0.001109,0.001109
47,346.419,0.788,0.67071,1.76916,0.81916,0.92579,0.82782,0.68283,0.65164,0.67552,1.70441,0.0010892,0.0010892,0.0010892
48,353.116,0.76534,0.68219,1.77367,0.82041,0.93431,0.83143,0.70151,0.62445,0.67919,1.7063,0.0010694,0.0010694,0.0010694
49,359.826,0.75593,0.68872,1.7451,0.82041,0.93431,0.83143,0.70151,0.62445,0.67919,1.7063,0.0010496,0.0010496,0.0010496
50,366.537,0.77278,0.68569,1.74241,0.82023,0.93431,0.81775,0.69147,0.6211,0.68889,1.68837,0.0010298,0.0010298,0.0010298
51,373.205,0.80108,0.7146,1.76596,0.82655,0.93431,0.82225,0.68676,0.62841,0.67717,1.68773,0.00101,0.00101,0.00101
52,379.873,0.83284,0.71301,1.74041,0.82607,0.93605,0.8341,0.69501,0.65153,0.66228,1.73056,0.0009902,0.0009902,0.0009902
53,386.546,0.7718,0.6702,1.68798,0.82607,0.93605,0.8341,0.69501,0.65153,0.66228,1.73056,0.0009704,0.0009704,0.0009704
54,393.249,0.78496,0.68839,1.73557,0.82184,0.94161,0.82966,0.68989,0.64381,0.65191,1.70683,0.0009506,0.0009506,0.0009506
55,399.961,0.75249,0.67477,1.71344,0.82392,0.94161,0.83732,0.69332,0.66344,0.65566,1.77689,0.0009308,0.0009308,0.0009308
56,406.684,0.78253,0.6791,1.74036,0.82318,0.9635,0.8491,0.69445,0.67278,0.66313,1.80393,0.000911,0.000911,0.000911
57,413.341,0.75639,0.69959,1.74537,0.82318,0.9635,0.8491,0.69445,0.67278,0.66313,1.80393,0.0008912,0.0008912,0.0008912
58,420.006,0.75779,0.66164,1.71198,0.81956,0.94891,0.83837,0.70144,0.60113,0.64539,1.65691,0.0008714,0.0008714,0.0008714
59,426.72,0.7407,0.66128,1.66914,0.8247,0.9562,0.8396,0.69833,0.61658,0.66407,1.70681,0.0008516,0.0008516,0.0008516
60,433.463,0.7763,0.63067,1.67394,0.82021,0.9781,0.84068,0.69927,0.6695,0.70722,1.81449,0.0008318,0.0008318,0.0008318
61,440.146,0.73414,0.65305,1.64884,0.82021,0.9781,0.84068,0.69927,0.6695,0.70722,1.81449,0.000812,0.000812,0.000812
62,446.859,0.73333,0.66262,1.73189,0.81573,0.9708,0.8296,0.686,0.68615,0.72359,1.93262,0.0007922,0.0007922,0.0007922
63,453.542,0.74777,0.68766,1.80755,0.81969,0.9708,0.83199,0.69562,0.63406,0.68007,1.88921,0.0007724,0.0007724,0.0007724
64,460.212,0.72423,0.64627,1.70361,0.82043,0.93431,0.82757,0.6931,0.60772,0.64932,1.72342,0.0007526,0.0007526,0.0007526
65,466.884,0.72965,0.63905,1.67975,0.82043,0.93431,0.82757,0.6931,0.60772,0.64932,1.72342,0.0007328,0.0007328,0.0007328
66,473.52,0.73353,0.63932,1.69018,0.80941,0.93431,0.81219,0.69826,0.57751,0.64949,1.62833,0.000713,0.000713,0.000713
67,480.191,0.74729,0.64117,1.69806,0.82015,0.91971,0.81267,0.69557,0.57479,0.63367,1.59589,0.0006932,0.0006932,0.0006932
