epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1472,2.10882,3.47723,2.4892,0.02944,0.40769,0.02355,0.00643,2.18322,3.6491,2.65451,4e-05,4e-05,4e-05
2,24.7557,2.14815,3.49394,2.56771,0.04944,0.68462,0.04563,0.01497,1.58937,3.53477,2.23606,9.901e-05,9.901e-05,9.901e-05
3,35.6361,1.54046,3.19818,2.14132,0.17744,0.86154,0.55718,0.25072,1.16046,2.69257,1.85867,0.000156832,0.000156832,0.000156832
4,48.2957,1.2518,2.66905,1.80018,0.63523,0.70998,0.66012,0.31598,1.23009,2.04622,1.80935,0.000213466,0.000213466,0.000213466
5,61.302,1.20748,2.04292,1.71797,0.66324,0.83077,0.68104,0.35003,1.29806,1.78543,1.71914,0.000268912,0.000268912,0.000268912
6,72.5792,1.19858,1.55093,1.6715,0.63996,0.83405,0.71041,0.36098,1.26788,1.73871,1.74701,0.00032317,0.00032317,0.00032317
7,85.1181,1.15353,1.27853,1.73811,0.63399,0.85276,0.73969,0.42619,1.14661,1.4719,1.73043,0.00037624,0.00037624,0.00037624
8,97.5352,1.07469,1.09263,1.70225,0.64458,0.86923,0.73979,0.4458,1.09779,1.32075,1.73394,0.000428122,0.000428122,0.000428122
9,108.182,1.06945,1.04334,1.76224,0.66639,0.93846,0.7206,0.45313,1.061,1.23514,1.73104,0.000478816,0.000478816,0.000478816
10,120.417,1.08323,0.95026,1.71859,0.69783,0.97706,0.73606,0.49764,0.99658,1.27508,1.75505,0.000528322,0.000528322,0.000528322
11,130.745,0.98318,0.89298,1.70191,0.73798,0.97495,0.74254,0.52734,0.98392,1.06562,1.71107,0.00057664,0.00057664,0.00057664
12,142.966,1.00701,0.85341,1.71608,0.73369,0.99231,0.7513,0.53445,0.98775,0.96098,1.70634,0.00062377,0.00062377,0.00062377
13,155.001,1.01329,0.82727,1.61644,0.74731,0.98462,0.77935,0.56824,0.95664,0.88288,1.72617,0.000669712,0.000669712,0.000669712
14,164.88,0.98169,0.78456,1.6699,0.73652,0.98911,0.78958,0.55403,0.97251,0.91556,1.74429,0.000714466,0.000714466,0.000714466
15,176.452,1.00621,0.78902,1.66929,0.7483,0.98338,0.79582,0.5818,0.92676,0.93255,1.67363,0.000758032,0.000758032,0.000758032
16,188.29,1.01629,0.76191,1.57058,0.7451,0.98938,0.7976,0.57942,0.89318,0.9025,1.67108,0.00080041,0.00080041,0.00080041
17,199.857,0.98439,0.72799,1.709,0.75785,0.98706,0.77471,0.55489,0.94354,0.84021,1.82359,0.0008416,0.0008416,0.0008416
18,208.862,0.95113,0.68266,1.70377,0.74705,1,0.7591,0.56692,0.92391,0.82048,1.74583,0.000881602,0.000881602,0.000881602
19,220.396,0.93675,0.71428,1.62529,0.747,0.99934,0.76778,0.57242,0.9144,0.83865,1.65533,0.000920416,0.000920416,0.000920416
20,231.974,0.98186,0.69105,1.55701,0.73764,1,0.77555,0.58301,0.8852,0.84231,1.64199,0.000958042,0.000958042,0.000958042
21,241.888,0.92922,0.69911,1.61848,0.74711,0.99993,0.76198,0.57994,0.87616,0.81472,1.68568,0.00099448,0.00099448,0.00099448
22,253.597,0.90373,0.6765,1.54725,0.74573,1,0.77406,0.57398,0.85825,0.78964,1.66776,0.00102973,0.00102973,0.00102973
23,263.381,0.89466,0.68973,1.66124,0.74044,0.99231,0.76854,0.58814,0.85204,0.78097,1.59929,0.00106379,0.00106379,0.00106379
24,275.153,0.94566,0.7376,1.59517,0.7385,0.99932,0.77127,0.58262,0.84808,0.76296,1.62638,0.00109667,0.00109667,0.00109667
25,286.842,0.89129,0.67828,1.53432,0.74593,1,0.79127,0.59307,0.90504,0.76744,1.6856,0.00112835,0.00112835,0.00112835
26,296.948,0.86868,0.67321,1.56232,0.72611,0.99925,0.7874,0.58764,0.90104,0.77448,1.71322,0.00115885,0.00115885,0.00115885
27,308.47,0.906,0.66174,1.54635,0.73566,0.99231,0.8064,0.60336,0.87251,0.78179,1.66426,0.00118816,0.00118816,0.00118816
28,320.419,0.87959,0.66854,1.58326,0.73861,1,0.80761,0.6262,0.84292,0.74864,1.63572,0.00121628,0.00121628,0.00121628
29,330.503,0.91226,0.66156,1.56002,0.73861,1,0.80761,0.6262,0.84292,0.74864,1.63572,0.00124322,0.00124322,0.00124322
30,342.387,0.8698,0.6292,1.52798,0.73804,1,0.80624,0.62251,0.84435,0.73855,1.64147,0.00126896,0.00126896,0.00126896
31,353.875,0.87399,0.67339,1.53884,0.74223,0.99231,0.79178,0.61516,0.85191,0.71843,1.63401,0.00129352,0.00129352,0.00129352
32,363.809,0.86333,0.63794,1.49352,0.73512,0.98462,0.8026,0.59871,0.87931,0.73037,1.71576,0.00131689,0.00131689,0.00131689
33,375.23,0.83599,0.64259,1.56032,0.73512,0.98462,0.8026,0.59871,0.87931,0.73037,1.71576,0.00133907,0.00133907,0.00133907
34,385.076,0.83723,0.63572,1.50513,0.73728,0.98462,0.8156,0.59567,0.87267,0.73468,1.71222,0.0013466,0.0013466,0.0013466
35,396.434,0.83679,0.63877,1.4792,0.74124,1,0.80307,0.62604,0.80387,0.70553,1.61829,0.0013268,0.0013268,0.0013268
36,407.778,0.85378,0.65119,1.48521,0.73808,1,0.8109,0.63257,0.80982,0.69841,1.65688,0.001307,0.001307,0.001307
37,417.779,0.84672,0.63592,1.46589,0.73808,1,0.8109,0.63257,0.80982,0.69841,1.65688,0.0012872,0.0012872,0.0012872
38,429.504,0.82388,0.62388,1.46133,0.72799,0.99231,0.8032,0.60835,0.871,0.71532,1.78084,0.0012674,0.0012674,0.0012674
39,440.349,0.79094,0.60821,1.44031,0.73016,0.99231,0.79596,0.60493,0.86658,0.72063,1.72046,0.0012476,0.0012476,0.0012476
40,450.698,0.80772,0.6033,1.48291,0.72986,1,0.79493,0.61498,0.83859,0.71899,1.61897,0.0012278,0.0012278,0.0012278
41,461.913,0.80498,0.59024,1.4391,0.72986,1,0.79493,0.61498,0.83859,0.71899,1.61897,0.001208,0.001208,0.001208
42,473.196,0.84164,0.60685,1.40268,0.74192,1,0.80573,0.63665,0.79267,0.69586,1.57394,0.0011882,0.0011882,0.0011882
43,483.088,0.78562,0.61416,1.42986,0.72495,1,0.80322,0.63811,0.79015,0.69919,1.58741,0.0011684,0.0011684,0.0011684
44,494.705,0.76509,0.59733,1.40699,0.72477,1,0.79093,0.61239,0.83352,0.72354,1.67351,0.0011486,0.0011486,0.0011486
45,505.785,0.80839,0.59352,1.40105,0.72477,1,0.79093,0.61239,0.83352,0.72354,1.67351,0.0011288,0.0011288,0.0011288
46,515.788,0.78562,0.60593,1.4094,0.7297,0.9968,0.79559,0.60848,0.84708,0.73205,1.65705,0.001109,0.001109,0.001109
47,527.422,0.79599,0.58909,1.39651,0.73841,1,0.79907,0.61983,0.83106,0.72061,1.65427,0.0010892,0.0010892,0.0010892
48,539.049,0.76706,0.57173,1.41339,0.734,0.99762,0.81317,0.64353,0.79673,0.71865,1.60097,0.0010694,0.0010694,0.0010694
49,549.667,0.77573,0.59338,1.37815,0.734,0.99762,0.81317,0.64353,0.79673,0.71865,1.60097,0.0010496,0.0010496,0.0010496
50,561.042,0.77433,0.58538,1.37129,0.73353,1,0.80874,0.6274,0.81184,0.71859,1.61841,0.0010298,0.0010298,0.0010298
51,572.034,0.7634,0.58941,1.37075,0.72945,1,0.80131,0.63443,0.78559,0.70525,1.56248,0.00101,0.00101,0.00101
52,582.287,0.77096,0.59576,1.36063,0.73684,1,0.78081,0.62104,0.78541,0.69194,1.56723,0.0009902,0.0009902,0.0009902
53,593.407,0.77469,0.58271,1.39873,0.73684,1,0.78081,0.62104,0.78541,0.69194,1.56723,0.0009704,0.0009704,0.0009704
54,604.373,0.76123,0.57913,1.41164,0.7326,1,0.79072,0.62365,0.80639,0.7013,1.57438,0.0009506,0.0009506,0.0009506
55,614.735,0.7577,0.5783,1.37792,0.7413,1,0.7889,0.61778,0.82785,0.70048,1.66137,0.0009308,0.0009308,0.0009308
56,625.832,0.80337,0.58558,1.38395,0.74495,1,0.79208,0.62247,0.81065,0.69746,1.66354,0.000911,0.000911,0.000911
57,635.975,0.73269,0.58471,1.34173,0.74495,1,0.79208,0.62247,0.81065,0.69746,1.66354,0.0008912,0.0008912,0.0008912
58,646.883,0.72359,0.55539,1.36379,0.74183,1,0.79552,0.63041,0.77166,0.68963,1.62544,0.0008714,0.0008714,0.0008714
59,658.096,0.72837,0.5554,1.34419,0.73331,1,0.80421,0.63443,0.78344,0.69014,1.64393,0.0008516,0.0008516,0.0008516
60,668.496,0.7595,0.55106,1.34441,0.74608,1,0.79073,0.60556,0.84685,0.68941,1.78301,0.0008318,0.0008318,0.0008318
61,679.396,0.7402,0.54918,1.31669,0.74608,1,0.79073,0.60556,0.84685,0.68941,1.78301,0.000812,0.000812,0.000812
62,690.449,0.72597,0.55418,1.33904,0.73714,1,0.77174,0.60033,0.84737,0.7007,1.73256,0.0007922,0.0007922,0.0007922
63,700.867,0.73347,0.56143,1.39105,0.73356,1,0.7758,0.60848,0.83292,0.69584,1.68254,0.0007724,0.0007724,0.0007724
64,711.733,0.72809,0.54122,1.34196,0.73218,1,0.78032,0.62336,0.79939,0.68824,1.62975,0.0007526,0.0007526,0.0007526
65,722.963,0.71272,0.52403,1.30351,0.73218,1,0.78032,0.62336,0.79939,0.68824,1.62975,0.0007328,0.0007328,0.0007328
66,733.194,0.73186,0.53367,1.34888,0.74399,0.99231,0.79587,0.641,0.77602,0.6823,1.59447,0.000713,0.000713,0.000713
67,744.317,0.7352,0.53288,1.37519,0.73909,0.99231,0.79661,0.63865,0.78058,0.69577,1.58746,0.0006932,0.0006932,0.0006932
68,755.532,0.72752,0.55457,1.29168,0.73486,0.99231,0.79689,0.63243,0.80619,0.71416,1.62194,0.0006734,0.0006734,0.0006734
69,765.871,0.68847,0.54861,1.27402,0.73486,0.99231,0.79689,0.63243,0.80619,0.71416,1.62194,0.0006536,0.0006536,0.0006536
70,777.225,0.71351,0.55138,1.31916,0.73031,1,0.7935,0.63247,0.80563,0.7303,1.63246,0.0006338,0.0006338,0.0006338
71,788.43,0.73516,0.56628,1.34258,0.7289,0.99231,0.781,0.62511,0.77879,0.74174,1.60916,0.000614,0.000614,0.000614
72,798.836,0.70485,0.5361,1.2985,0.73423,0.99231,0.7836,0.62606,0.77127,0.7271,1.61279,0.0005942,0.0005942,0.0005942
73,809.747,0.70909,0.53002,1.2634,0.73423,0.99231,0.7836,0.62606,0.77127,0.7271,1.61279,0.0005744,0.0005744,0.0005744
74,820.75,0.73125,0.53772,1.29046,0.74565,0.99224,0.78957,0.62974,0.78039,0.71694,1.62194,0.0005546,0.0005546,0.0005546
75,831.087,0.69985,0.51699,1.26309,0.70993,0.99231,0.76758,0.60978,0.77613,0.72787,1.65056,0.0005348,0.0005348,0.0005348
76,842.592,0.69494,0.52207,1.30634,0.70246,0.99884,0.76153,0.60259,0.78045,0.74465,1.67716,0.000515,0.000515,0.000515
77,853.953,0.70662,0.54043,1.30758,0.70246,0.99884,0.76153,0.60259,0.78045,0.74465,1.67716,0.0004952,0.0004952,0.0004952
78,864.972,0.68405,0.52694,1.3029,0.71286,0.99307,0.77568,0.61224,0.77999,0.74813,1.68668,0.0004754,0.0004754,0.0004754
79,875.71,0.69288,0.52913,1.32834,0.72577,0.99231,0.77225,0.61198,0.78249,0.73431,1.68612,0.0004556,0.0004556,0.0004556
80,887.496,0.71366,0.52881,1.26109,0.73768,0.99231,0.76276,0.60628,0.77438,0.72196,1.68295,0.0004358,0.0004358,0.0004358
81,898.518,0.68664,0.50207,1.27513,0.73768,0.99231,0.76276,0.60628,0.77438,0.72196,1.68295,0.000416,0.000416,0.000416
82,908.869,0.66939,0.50705,1.27453,0.7449,0.99231,0.76572,0.61449,0.75636,0.71045,1.68036,0.0003962,0.0003962,0.0003962
83,920.247,0.69273,0.52267,1.26756,0.74909,0.98752,0.77424,0.62596,0.75375,0.71073,1.70677,0.0003764,0.0003764,0.0003764
